ticker,year,n_price_days,start_date,end_date,start_price,end_price,yearly_return
AMJ,2020,253,2020-01-02,2020-12-31,15.9371,11.1293,-0.301673453765114
AMJ,2021,252,2021-01-04,2021-12-31,11.0332,15.3512,0.3913642460936084
AMJ,2022,251,2022-01-03,2022-12-30,15.877,19.7859,0.24619890407507716
AMJ,2023,250,2023-01-03,2023-12-29,19.7124,24.9738,0.2669081390393866
AMLP,2016,252,2016-01-04,2016-12-30,24.8468,28.3899,0.14259783956082872
AMLP,2017,251,2017-01-03,2017-12-29,28.7054,26.1497,-0.08903202881687766
AMLP,2018,251,2018-01-02,2018-12-31,26.8041,22.8363,-0.1480295924877163
AMLP,2019,252,2019-01-02,2019-12-31,23.2548,24.2039,0.040813079450264134
AMLP,2020,253,2020-01-02,2020-12-31,24.5171,16.3965,-0.33122188187020485
AMLP,2021,252,2021-01-04,2021-12-31,16.256,22.8052,0.402878937007874
AMLP,2022,251,2022-01-03,2022-12-30,23.46,28.2,0.20204603580562663
AMLP,2023,250,2023-01-03,2023-12-29,28.185,34.7364,0.23244278871740298
AMLP,2024,252,2024-01-02,2024-12-31,34.908,44.2726,0.26826515411939944
AMLP,2025,250,2025-01-02,2025-12-31,43.3429,47.02,0.08483742435323904
AMPS,2021,231,2021-02-01,2021-12-31,10.49,10.45,-0.0038131553860820677
AMPS,2022,251,2022-01-03,2022-12-30,10.5,6.52,-0.3790476190476191
AMPS,2023,250,2023-01-03,2023-12-29,6.2,6.83,0.1016129032258064
AMPS,2024,241,2024-01-02,2024-12-13,7.12,3.8,-0.4662921348314607
AMZU,2023,250,2023-01-03,2023-12-29,11.6002,23.4604,1.0224134066654025
AMZU,2024,252,2024-01-02,2024-12-31,23.0706,37.3857,0.6204910145379834
AMZU,2025,250,2025-01-02,2025-12-31,37.893,35.02,-0.0758187528039479
ANGL,2016,252,2016-01-04,2016-12-30,14.0333,17.648,0.2575801842759722
ANGL,2017,251,2017-01-03,2017-12-29,17.7155,19.361,0.09288476193164197
ANGL,2018,251,2018-01-02,2018-12-31,19.3416,18.2311,-0.057415105265334776
ANGL,2019,252,2019-01-02,2019-12-31,18.279,21.5246,0.17755894742600797
ANGL,2020,253,2020-01-02,2020-12-31,21.5678,24.3649,0.1296887026029545
ANGL,2021,252,2021-01-04,2021-12-31,24.3194,26.0327,0.07044992886337642
ANGL,2022,251,2022-01-03,2022-12-30,25.9537,22.3215,-0.13994921725996678
ANGL,2023,250,2023-01-03,2023-12-29,22.3546,24.924,0.11493831247260067
ANGL,2024,252,2024-01-02,2024-12-31,25.0374,26.6376,0.06391238706894464
ANGL,2025,250,2025-01-02,2025-12-31,26.6469,29.365,0.10200436073239283
ARKB,2024,245,2024-01-11,2024-12-31,15.7533,31.5416,1.0022217567112923
ARKB,2025,250,2025-01-02,2025-12-31,32.2533,29.04,-0.09962701491010229
ARKF,2019,230,2019-02-04,2019-12-31,20.2426,23.8534,0.17837629553515866
ARKF,2020,253,2020-01-02,2020-12-31,24.4353,49.6666,1.032575822682758
ARKF,2021,252,2021-01-04,2021-12-31,49.2569,40.8143,-0.17139933694568676
ARKF,2022,251,2022-01-03,2022-12-30,40.9642,14.2575,-0.6519521924021463
ARKF,2023,250,2023-01-03,2023-12-29,14.4374,27.396,0.8975715849114108
ARKF,2024,252,2024-01-02,2024-12-31,26.1771,36.9678,0.41221907697949733
ARKF,2025,250,2025-01-02,2025-12-31,37.2374,47.63,0.27909037687915905
ARKG,2016,249,2016-01-04,2016-12-30,19.1089,16.0683,-0.1591195725551967
ARKG,2017,251,2017-01-03,2017-12-29,16.3177,23.4288,0.4357905832317055
ARKG,2018,251,2018-01-02,2018-12-31,24.2707,23.1327,-0.04688781122917762
ARKG,2019,252,2019-01-02,2019-12-31,23.6536,33.31,0.4082422971556128
ARKG,2020,253,2020-01-02,2020-12-31,33.141,92.6756,1.7964032467336533
ARKG,2021,252,2021-01-04,2021-12-31,92.5563,61.24,-0.33834865914043666
ARKG,2022,251,2022-01-03,2022-12-30,63.26,28.32,-0.5523237432816945
ARKG,2023,250,2023-01-03,2023-12-29,27.76,32.67,0.17687319884726227
ARKG,2024,252,2024-01-02,2024-12-31,32.95,23.5,-0.2867981790591806
ARKG,2025,250,2025-01-02,2025-12-31,24.33,28.77,0.18249075215782984
ARKK,2016,244,2016-01-04,2016-12-30,19.2552,19.2937,0.0019994598861607926
ARKK,2017,251,2017-01-03,2017-12-29,19.6657,35.7658,0.8186893932074626
ARKK,2018,251,2018-01-02,2018-12-31,37.2126,35.8719,-0.03602811950790874
ARKK,2019,252,2019-01-02,2019-12-31,36.0937,48.4545,0.3424641973530007
ARKK,2020,253,2020-01-02,2020-12-31,48.8901,122.45,1.5045970452095623
ARKK,2021,252,2021-01-04,2021-12-31,122.6467,93.8077,-0.23513881743251142
ARKK,2022,251,2022-01-03,2022-12-30,96.1878,31.1899,-0.6757395428526278
ARKK,2023,250,2023-01-03,2023-12-29,30.1684,52.25,0.7319446838413706
ARKK,2024,252,2024-01-02,2024-12-31,50.44,56.76,0.1252973830293418
ARKK,2025,250,2025-01-02,2025-12-31,57.15,76.84,0.34453193350831146
ARKW,2016,249,2016-01-04,2016-12-30,20.8378,23.3135,0.11880812753745595
ARKW,2017,251,2017-01-03,2017-12-29,23.6192,42.9142,0.8169201327733371
