ticker,entry_price,shares,initial_allocation_usd,initial_weight,final_price,final_value_usd,final_weight
EWU,27.5445,36.30488845323023,1000.0,0.1,24.9632,906.2861914356769,0.0821320287242633
EWY,64.0429,15.614533383091645,1000.0,0.1,75.793,1183.4723287046652,0.10725197428150501
IEI,103.6529,9.647583425065772,1000.0,0.1,118.9386,1147.4700659605278,0.10398927547203095
INDA,32.9543,30.34505360453719,1000.0,0.1,37.4648,1136.8713642832647,0.10302876997297011
MBB,85.3433,11.71738144646387,1000.0,0.1,94.7673,1110.4246027514755,0.10063203680157343
SPTL,29.1824,34.26722956302429,1000.0,0.1,38.7505,1327.8722791819728,0.12033819471877863
SQQQ,38370.49,0.02606169480765036,1000.0,0.1,1481.4604,38.609368814419625,0.0034989673443751824
TMF,181.3995,5.512694356930422,1000.0,0.1,312.7291,1723.9799448179297,0.15623538313381619
XHB,41.4851,24.105040122839284,1000.0,0.1,55.5681,1339.4712800499456,0.12138935215829778
XLF,24.2706,41.20211284434666,1000.0,0.1,27.1842,1120.0464759832885,0.10150401739238944
