date,portfolio_value,daily_return,cumulative_return,drawdown
2016-01-04,10000.0,,0.0,0.0
2016-01-05,10011.951349510933,0.0011951349510932463,0.0011951349510932463,0.0
2016-01-06,10003.419861117354,-0.0008521304284998532,0.00034198611173552607,-0.0008521304284998532
2016-01-07,9976.466353228105,-0.0026944293315145362,-0.0023533646771894956,-0.003544263754793553
2016-01-08,9985.211311121187,0.000876558651476067,-0.0014788688878812906,-0.002670811858374811
2016-01-11,9942.375132740604,-0.004289962129581881,-0.005762486725939597,-0.006949316306229081
2016-01-12,9972.32636532062,0.0030124826492801127,-0.0027673634679380443,-0.003957768351745883
2016-01-13,10029.416703582787,0.005724876640690546,0.0029416703582787473,0.0
2016-01-14,9998.003498555729,-0.003132106876747587,-0.00019965014442713258,-0.003132106876747587
2016-01-15,10027.197077536526,0.0029199408646951586,0.0027197077536527114,-0.00022131157891447373
2016-01-19,10011.633421291705,-0.0015521442457422374,0.0011633421291703527,-0.0017731123171629282
2016-01-20,9951.217978599607,-0.006034524053149304,-0.004878202140039312,-0.0077969364813853526
2016-01-21,9968.03301098022,0.0016897461614020504,-0.0031966989019780456,-0.0061203651634734735
2016-01-22,9964.819186554003,-0.0003224131002251829,-0.003518081344599744,-0.006440804977791759
2016-01-25,9964.022982505008,-7.990150489323167e-05,-0.003597701749499138,-0.006520191852674606
2016-01-26,10020.639988165927,0.005682143222705216,0.0020639988165926937,-0.000875097293915883
2016-01-27,10044.295100513313,0.0023606388788861565,0.004429510051331187,0.0
2016-01-28,10061.502171031176,0.0017131187749535037,0.006150217103117583,0.0
2016-01-29,10108.659864890275,0.0046869436648211416,0.01086598648902748,0.0
2016-02-01,10075.457394426408,-0.0032845570933873747,0.007545739442640809,-0.0032845570933873747
2016-02-02,10115.50557476348,0.003974825039628094,0.011550557476347922,0.0
2016-02-03,10117.040559186675,0.00015174569494824652,0.011704055918667411,0.0
2016-02-04,10189.932742938392,0.0072048919172837955,0.018993274293839235,0.0
2016-02-05,10259.969262149038,0.00687310907514882,0.025996926214903793,0.0
2016-02-08,10355.565911714162,0.00931744015235969,0.035556591171416185,0.0
2016-02-09,10319.04168052716,-0.0035270145058596825,0.0319041680527159,-0.0035270145058596825
2016-02-10,10363.788018843612,0.004336288165294633,0.036378801884361156,0.0
2016-02-11,10257.58904180733,-0.010247119763853618,0.025758904180733122,-0.010247119763853618
2016-02-12,10211.779951746532,-0.004465873011103572,0.02117799517465313,-0.014667230439362133
2016-02-16,10143.836557693554,-0.006653433032637768,0.014383655769355297,-0.021223076036497313
2016-02-17,10103.069310728873,-0.0040189179639098516,0.010306931072887382,-0.025156700198874726
2016-02-18,10179.262221470983,0.007541560727609475,0.01792622214709816,-0.01780486025352135
2016-02-19,10170.126146430777,-0.0008975183899806449,0.017012614643077795,-0.018686398453993447
2016-02-22,10187.415657586122,0.0017000291743098916,0.018741565758612078,-0.01701813670221808
2016-02-23,10172.492740246233,-0.0014648383693637301,0.017249274024623285,-0.018458046251965343
