ticker,equal_weight,equal_weight_usd
GDX,0.1,3000.0
IAU,0.1,3000.0
IWM,0.1,3000.0
PDBC,0.1,3000.0
VEA,0.1,3000.0
VOO,0.1,3000.0
XLE,0.1,3000.0
XLF,0.1,3000.0
XLU,0.1,3000.0
XLV,0.1,3000.0
