ticker,weight,allocation_usd
BAR,0.1,3000.0
DXJ,0.1,3000.0
GLD,0.1,3000.0
IAU,0.1,3000.0
OUNZ,0.1,3000.0
PHYS,0.1,3000.0
SGOL,0.1,3000.0
UGL,0.1,3000.0
VEA,0.1,3000.0
VOO,0.1,3000.0
