ticker,vol_2020,vol_2021,vol_2022,vol_2023,vol_2024,vol_2025,vol_combined,start_date
PSLV,611860977.0,1128559309.0,1074797545.0,725662239.0,1363882317.0,7631189782.0,12535952169.0,2010-10-29
XLY,2123807677.0,1951302105.0,3063272802.0,2045971060.0,1394655161.0,1755535331.0,12334544136.0,2000-01-03
SPXL,3453297641.0,1472636969.0,2704721022.0,2695952608.0,1048952640.0,836906387.0,12212467267.0,2008-11-05
QLD,2932673880.0,1491411883.0,2912650976.0,2067875111.0,1368953482.0,1412700128.0,12186265460.0,2006-06-21
SCHD,1678864640.0,1506341159.0,2515303349.0,2454558026.0,2462622238.0,1540925198.0,12158614610.0,2011-10-20
AGG,1819484691.0,1674374682.0,2336015052.0,2083378038.0,2069619591.0,2017171658.0,12000043712.0,2003-09-29
IEF,1327898090.0,2185763233.0,2030318167.0,2374516298.0,1899498194.0,2025148545.0,11843142527.0,2002-07-30
UDOW,3701840501.0,1417283042.0,2402348753.0,1336433510.0,1330069477.0,1049280427.0,11237255710.0,2010-02-11
SQQQ,84543657.06299776,249033322.64999515,1385877559.1200228,1563214087.9300122,1810247503.7799907,6100623220.5999775,11193539351.142996,2010-02-11
GLD,2681914989.0,1770818335.0,1730469303.0,1490581841.0,1339636661.0,2171017237.0,11184438366.0,2004-11-18
XBI,1293858287.0,1203322958.0,2522481778.0,1866009663.0,1925374305.0,2117557103.0,10928604094.0,2006-02-06
GDXJ,3537766072.0,1573773957.0,1783890873.0,1502215342.0,1339357252.0,1143323921.0,10880327417.0,2009-11-11
USHY,694993307.0,605451907.0,1810440255.0,1619608160.0,2322369006.0,3105205604.0,10158068239.0,2017-10-26
EWJ,2321976110.0,1806960781.0,1492911235.0,1580458804.0,1611277740.0,1263733807.0,10077318477.0,2000-01-03
IJH,1923589985.0,1253244510.0,1545386089.0,1381555815.0,1699951300.0,2133023691.0,9936751390.0,2004-01-02
BND,1460075035.0,1596049344.0,1945659648.0,1554793155.0,1618720678.0,1681200926.0,9856498786.0,2007-04-10
IYR,1831219739.0,1937115636.0,1815225396.0,1625579186.0,1261248822.0,1287011984.0,9757400763.0,2005-01-03
UCO,6430509517.9,982112436.0,599729985.0,675913981.0,525056545.0,540732827.0,9754055291.9,2008-11-25
XLRE,1816707214.0,1506802497.0,1830511573.0,1429580655.0,1574518855.0,1532641620.0,9690762414.0,2015-10-08
VCIT,1044798400.0,966916789.0,1883325419.0,1578034713.0,1712930615.0,2215048043.0,9401053979.0,2009-11-23
SH,1088387500.899985,667108468.9999969,2655731339.50011,1765085045.6000073,1628699592.6000257,1593876360.0,9398888307.600124,2006-06-21
EMB,1248755931.0,1369829735.0,1967170119.0,1642930049.0,1516576836.0,1572701254.0,9317963924.0,2007-12-19
SMH,1629686473.0,1356063510.0,2066551773.0,1446294484.0,1433321198.0,1375537367.3000026,9307454805.300003,2000-06-05
BIL,865224866.0,331527236.0,1566722123.0,2205062608.0,1817571127.0,2485320228.0,9271428188.0,2007-05-30
SJNK,1769948969.0,1496608943.0,2245370110.0,1505742945.0,997802378.0,1001209088.0,9016682433.0,2012-03-15
GBTC,1723323155.0,2291731451.0,1216101140.0,843385541.0,1883024102.0,560665030.0,8518230419.0,2015-05-04
PDBC,1077135303.0,1865996603.0,2109160614.0,1098089865.0,929626441.0,1298507916.0,8378516742.0,2014-11-07
TSLS,0.0,0.0,32366068.0,308039578.0,802002188.0,7119024432.0,8261432266.0,2022-08-10
ASHR,1376354965.0,816932372.0,1413850684.0,1032835294.0,1551977320.0,1893845082.0,8085795717.0,2013-11-06
SCHG,1153704077.0,701062490.0,1241197140.0,976690389.0,1255792227.0,2602342158.0,7930788481.0,2009-12-11
XOP,2665221881.400002,1659071369.0,1514717376.0,904558920.0,570677466.0,596253846.0,7910500858.400002,2006-06-22
PFF,1770190796.0,1433195293.0,1377549783.0,1119141173.0,1085062850.0,882817287.0,7667957182.0,2007-03-30
EWT,2346327164.0,1440051832.0,1393734577.0,775993676.0,847535760.0,786162194.0,7589805203.0,2004-01-02
QYLD,281951867.0,1063573032.0,1911529240.0,1341716886.0,1221095860.0,1671052404.0,7490919289.0,2013-12-12
USO,2223156495.1000004,1287719580.0,1191759130.0,826098066.0,791146072.0,1109893513.0,7429772856.1,2006-04-10
NVDL,0.0,0.0,12949.0,89121753.0,3519916765.0,3801189159.0,7410240626.0,2022-12-13
PGX,1134913819.0,963405078.0,1503815263.0,1428608307.0,982456718.0,1387438642.0,7400637827.0,2008-01-31
